id,playerName,age,position,marketValue,previousClub,newClub,price,season,date,cleanSheets,savesPercentage,goalieErrors,tacklesWon,interceptions,cleaners,goals,assists,chancesCreated,successRate
203,C. Clark,33,CB,€300k,Newcastle United,Without Club,-,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
204,M. Longstaff,23,CM,€900k,Newcastle United,Without Club,-,23-24,summer,0,0,0,0,0,1,0,0,0,5.56
205,I. Sangaré,25,DM,€35.00m,PSV Eindhoven,Nottingham Forest,€35.00m,23-24,summer,0,0,0,6,4,4,0,0,0,77.78
206,A. Elanga,21,LW,€18.00m,Man Utd,Nottingham Forest,€17.50m,23-24,summer,0,0,0,0,0,0,25,25,46,97.04
207,C. Wood,31,CF,€8.00m,Newcastle,Nottingham Forest,€17.00m,23-24,summer,0,0,0,0,0,0,18,17,40,72.59
208,A. Omobamidele,21,CB,€6.00m,Norwich,Nottingham Forest,€12.85m,23-24,summer,0,0,0,3,3,2,0,0,0,44.44
209,Murillo,21,CB,€3.50m,Corinthians,Nottingham Forest,€12.00m,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
210,N. Domínguez,25,CM,€17.00m,Bologna,Nottingham Forest,€10.00m,23-24,summer,0,0,0,4,4,4,0,0,0,66.67
211,M. Turner,29,GK,€8.00m,Arsenal,Nottingham Forest,€8.15m,23-24,summer,22,87,3,0,0,0,0,0,0,62.11
212,O. Vlachodimos,29,GK,€16.00m,Benfica,Nottingham Forest,€4.90m,23-24,summer,25,86,3,0,0,0,0,0,0,65.56
213,C. Hudson-Odoi,22,LW,€15.00m,Chelsea,Nottingham Forest,€3.50m,23-24,summer,0,0,0,0,0,0,17,19,37,71.7
214,Ola Aina,26,RB,€3.50m,Torino,Nottingham Forest,free transfer,23-24,summer,0,0,0,0,1,1,0,0,0,11.11
215,B. Johnson,22,RW,€48.00m,Nottingham Forest,Tottenham,€55.00m,23-24,summer,0,0,0,0,0,0,23,23,43,89.48
216,S. Surridge,24,CF,€5.50m,Nottingham Forest,Nashville,€5.80m,23-24,summer,0,0,0,0,0,0,6,5,10,18.37
217,B. Ojeda,23,CM,€3.50m,Nottingham Forest,Salt Lake,€3.60m,23-24,summer,0,0,0,0,1,1,0,0,0,11.11
218,M. Dräger,27,RB,€600k,Nottingham Forest,FC Basel,€420k,23-24,summer,0,0,0,0,0,0,0,0,0,0.0
219,J. Colback,33,DM,€300k,Nottingham Forest,QPR,free transfer,23-24,summer,0,0,0,0,0,0,0,0,0,0.0
220,J. Smith,28,GK,€150k,Nottingham Forest,Stockport,free transfer,23-24,summer,16,76,5,0,0,0,0,0,0,52.44
221,Cafú,30,CM,€400k,Nottingham Forest,Rotherham,free transfer,23-24,summer,0,0,0,1,0,0,0,0,0,5.56
222,S. Cook,32,CB,€600k,Nottingham Forest,QPR,?,23-24,summer,0,0,0,0,0,1,0,0,0,5.56
223,G. Biancone,23,CB,€4.00m,Nottingham Forest,Olympiacos,?,23-24,summer,0,0,0,3,3,3,0,0,0,50.0
224,A. Kanuric,22,GK,€150k,Nottingham Forest,Without Club,-,23-24,summer,18,73,5,0,0,0,0,0,0,53.44
225,A. Ayew,33,LW,€1.20m,Nottingham Forest,Without Club,-,23-24,summer,0,0,0,0,0,0,5,1,7,9.48
226,J. Lingard,30,AM,€6.00m,Nottingham Forest,Without Club,-,23-24,summer,0,0,0,0,0,0,13,10,20,41.78
227,L. Taylor,33,CF,€125k,Nottingham Forest,Without Club,-,23-24,summer,0,0,0,0,0,0,5,5,9,16.3
228,C. Archer,21,CF,€12.00m,Aston Villa,Sheffield United,€21.55m,23-24,summer,0,0,0,0,0,0,19,15,35,67.56
229,G. Hamer,26,CM,€8.00m,Coventry,Sheffield United,€17.30m,23-24,summer,0,0,0,5,4,4,0,0,0,72.22
230,V. Souza,24,DM,€6.00m,Lommel SK,Sheffield United,€12.50m,23-24,summer,0,0,0,3,2,2,0,0,0,38.89
231,A. Trusty,24,CB,€10.00m,Arsenal,Sheffield United,€5.80m,23-24,summer,0,0,0,5,5,4,0,0,0,77.78
232,B. Traoré,20,CF,€3.50m,Häcken,Sheffield United,€4.60m,23-24,summer,0,0,0,0,0,0,3,4,6,10.07
233,A. Slimane,22,CM,€2.50m,Bröndby IF,Sheffield United,€2.70m,23-24,summer,0,0,0,0,1,0,0,0,0,5.56
234,T. Davies,25,CM,€9.00m,Everton,Sheffield United,free transfer,23-24,summer,0,0,0,3,5,5,0,0,0,72.22
235,I. Ndiaye,23,CF,€18.00m,Sheffield United,Marseille,€17.00m,23-24,summer,0,0,0,0,0,0,23,20,43,85.48
236,S. Berge,25,DM,€20.00m,Sheffield United,Burnley,€13.90m,23-24,summer,0,0,0,6,6,5,0,0,0,94.44
237,B. Sharp,37,CF,€200k,Sheffield United,Los Angeles,free transfer,23-24,summer,0,0,0,0,0,0,5,5,5,13.33
238,E. Stevens,32,LB,€300k,Sheffield United,Stoke City,free transfer,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
239,J. Eastwood,26,GK,€100k,Sheffield United,Grimsby Town,?,23-24,summer,19,73,4,0,0,0,0,0,0,52.56
240,J. O'Connell,29,CB,€2.20m,Sheffield United,Retired,-,23-24,summer,0,0,0,0,1,0,0,0,0,5.56
241,K. Gordon,21,CB,€2.20m,Sheffield United,Without Club,-,23-24,summer,0,0,0,1,0,0,0,0,0,5.56
242,B. Johnson,22,RW,€38.00m,Nottm Forest,Tottenham Hotspur,€55.00m,23-24,summer,0,0,0,0,0,0,21,22,43,85.48
243,J. Maddison,26,AM,€60.00m,Leicester,Tottenham Hotspur,€46.30m,23-24,summer,0,0,0,0,0,0,22,22,49,91.26
244,M. van de Ven,22,CB,€30.00m,VfL Wolfsburg,Tottenham Hotspur,€40.00m,23-24,summer,0,0,0,4,5,4,0,0,0,72.22
245,P. Porro,23,RB,€40.00m,Sporting CP,Tottenham Hotspur,€40.00m,23-24,summer,0,0,0,5,5,5,0,0,0,83.33
246,D. Kulusevski,23,RW,€50.00m,Juventus,Tottenham Hotspur,€30.00m,23-24,summer,0,0,0,0,0,0,24,24,42,91.41
247,G. Vicario,26,GK,€16.00m,FC Empoli,Tottenham Hotspur,€18.50m,23-24,summer,24,97,5,0,0,0,0,0,0,74.78
248,A. Véliz,19,CF,€7.00m,Rosario Central,Tottenham Hotspur,€15.00m,23-24,summer,0,0,0,0,0,0,11,13,27,48.3
249,A. Phillips,18,CB,€2.00m,Blackburn,Tottenham Hotspur,€2.30m,23-24,summer,0,0,0,0,0,0,0,0,0,0.0
250,M. Solomon,23,LW,€18.00m,Shakhtar D.,Tottenham Hotspur,free transfer,23-24,summer,0,0,0,0,0,0,21,25,42,88.74
251,H. Kane,30,CF,€110.00m,Tottenham Hotspur,Bayern Munich,€95.00m,23-24,summer,0,0,0,0,0,0,24,22,47,92.44
252,H. Winks,27,DM,€12.00m,Tottenham Hotspur,Leicester,€11.60m,23-24,summer,0,0,0,4,5,4,0,0,0,72.22
253,D. Sánchez,27,CB,€17.00m,Tottenham Hotspur,Galatasaray,€9.50m,23-24,summer,0,0,0,4,4,5,0,0,0,72.22
254,Lucas Moura,30,RW,€5.00m,Tottenham Hotspur,São Paulo,free transfer,23-24,summer,0,0,0,0,0,0,6,8,12,23.85
255,M. Kudus,23,AM,€40.00m,Ajax,West Ham United,€43.00m,23-24,summer,0,0,0,0,0,0,23,20,48,89.19
256,E. Álvarez,25,DM,€35.00m,Ajax,West Ham United,€38.00m,23-24,summer,0,0,0,5,4,6,0,0,0,83.33
257,J. Ward-Prowse,28,CM,€38.00m,Southampton,West Ham United,€34.80m,23-24,summer,0,0,0,6,5,6,0,0,0,94.44
258,K. Mavropanos,25,CB,€15.00m,VfB Stuttgart,West Ham United,€20.00m,23-24,summer,0,0,0,4,3,4,0,0,0,61.11
259,A. Irving,23,CM,€800k,A. Klagenfurt,West Ham United,€1.76m,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
260,D. Rice,24,DM,€110.00m,West Ham United,Arsenal,€116.60m,23-24,summer,0,0,0,5,5,4,0,0,0,77.78
261,G. Scamacca,24,CF,€25.00m,West Ham United,Atalanta BC,€25.50m,23-24,summer,0,0,0,0,0,0,23,21,47,89.78
262,N. Vlašić,25,AM,€13.00m,West Ham United,Torino,€10.60m,23-24,summer,0,0,0,0,0,0,20,20,33,74.07
263,A. Masuaku,29,LB,€5.00m,West Ham United,Besiktas,€2.00m,23-24,summer,0,0,0,2,3,3,0,0,0,44.44
264,M. Lanzini,30,AM,€2.50m,West Ham United,River Plate,free transfer,23-24,summer,0,0,0,0,0,0,0,0,10,3.7
265,M. Cunha,24,CF,€25.00m,Atlético Madrid,Wolverhampton Wanderers,€50.00m,23-24,summer,0,0,0,0,0,0,23,21,43,86.81
266,J. Bellegarde,25,CM,€10.00m,R. Strasbourg,Wolverhampton Wanderers,€15.00m,23-24,summer,0,0,0,4,4,5,0,0,0,72.22
267,S. Bueno,24,CB,€8.00m,Girona,Wolverhampton Wanderers,€12.00m,23-24,summer,0,0,0,4,5,5,0,0,0,77.78
268,B. Traoré,21,DM,€5.00m,FC Metz,Wolverhampton Wanderers,€11.00m,23-24,summer,0,0,0,3,2,1,0,0,0,33.33
269,Tom King,28,GK,€175k,Northampton,Wolverhampton Wanderers,free transfer,23-24,summer,16,80,3,0,0,0,0,0,0,50.22
270,M. Doherty,31,RB,€5.00m,Atlético Madrid,Wolverhampton Wanderers,free transfer,23-24,summer,0,0,0,3,2,1,0,0,0,33.33
271,M. Nunes,25,CM,€50.00m,Wolverhampton Wanderers,Man City,€62.00m,23-24,summer,0,0,0,6,6,6,0,0,0,100.0
272,R. Neves,26,DM,€40.00m,Wolverhampton Wanderers,Al-Hilal,€55.00m,23-24,summer,0,0,0,5,5,4,0,0,0,77.78
273,N. Collins,22,CB,€25.00m,Wolverhampton Wanderers,Brentford,€26.85m,23-24,summer,0,0,0,5,6,4,0,0,0,83.33
274,C. Coady,30,CB,€3.00m,Wolverhampton Wanderers,Leicester,€8.70m,23-24,summer,0,0,0,1,0,0,0,0,0,5.56
275,R. Jiménez,32,CF,€6.00m,Wolverhampton Wanderers,Fulham,€6.40m,23-24,summer,0,0,0,0,0,0,14,11,28,50.37
276,R. Giles,23,LB,€4.50m,Wolverhampton Wanderers,Luton,€5.85m,23-24,summer,0,0,0,2,1,3,0,0,0,33.33
277,H. Kawabe,27,CM,€4.50m,Wolverhampton Wanderers,Standard Liège,€1.50m,23-24,summer,0,0,0,3,3,2,0,0,0,44.44
278,M. Sarkic,26,GK,€1.50m,Wolverhampton Wanderers,Millwall,€1.40m,23-24,summer,1,50,13,0,0,0,0,0,0,35.78
279,Diego Costa,34,CF,€1.60m,Wolverhampton Wanderers,Botafogo,free transfer,23-24,summer,0,0,0,0,0,0,5,3,6,11.41
280,J. Moutinho,36,CM,€800k,Wolverhampton Wanderers,SC Braga,free transfer,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
281,A. Traoré,27,RW,€9.00m,Wolverhampton Wanderers,Fulham,free transfer,23-24,summer,0,0,0,0,0,0,19,15,37,69.04
